match_id,stage,kickoff_utc,kickoff_local,timezone,venue,city,country,home,away,us_english_tv,us_spanish_tv,sequence
80,Round of 32,2026-07-01T16:00:00+00:00,2026-07-01T12:00:00-04:00,America/New_York,Atlanta,Atlanta,USA,Winner Group L,3rd place Group E/H/I/J/K,,,4
81,Round of 32,2026-07-02T00:00:00+00:00,2026-07-01T17:00:00-07:00,America/Los_Angeles,San Francisco Bay Area (Santa Clara),San Francisco,USA,Winner Group D,3rd place Group B/E/F/I/J,,,4
82,Round of 32,2026-07-01T20:00:00+00:00,2026-07-01T13:00:00-07:00,America/Los_Angeles,Seattle,Seattle,USA,Winner Group G,3rd place Group A/E/H/I/J,,,4
83,Round of 32,2026-07-02T23:00:00+00:00,2026-07-02T19:00:00-04:00,America/Toronto,Toronto,Toronto,Canada,Runner-up Group K,Runner-up Group L,,,4
84,Round of 32,2026-07-02T19:00:00+00:00,2026-07-02T12:00:00-07:00,America/Los_Angeles,Los Angeles (Inglewood),Los Angeles,USA,Winner Group H,Runner-up Group J,,,4
85,Round of 32,2026-07-03T03:00:00+00:00,2026-07-02T20:00:00-07:00,America/Vancouver,Vancouver,Vancouver,Canada,Winner Group B,3rd place Group E/F/G/I/J,,,4
86,Round of 32,2026-07-03T22:00:00+00:00,2026-07-03T18:00:00-04:00,America/New_York,Miami (Miami Gardens),Miami,USA,Winner Group J,Runner-up Group H,,,4
87,Round of 32,2026-07-04T01:30:00+00:00,2026-07-03T20:30:00-05:00,America/Chicago,Kansas City,Kansas City,USA,Winner Group K,3rd place Group D/E/I/J/L,,,4
88,Round of 32,2026-07-03T18:00:00+00:00,2026-07-03T13:00:00-05:00,America/Chicago,Dallas (Arlington),Dallas,USA,Runner-up Group D,Runner-up Group G,,,4
89,Round of 16,2026-07-04T21:00:00+00:00,2026-07-04T17:00:00-04:00,America/New_York,Philadelphia,Philadelphia,USA,Winner of Match 74,Winner of Match 77,,,4
90,Round of 16,2026-07-04T17:00:00+00:00,2026-07-04T12:00:00-05:00,America/Chicago,Houston,Houston,USA,Winner of Match 73,Winner of Match 75,,,4
91,Round of 16,2026-07-05T20:00:00+00:00,2026-07-05T16:00:00-04:00,America/New_York,New York/New Jersey (East Rutherford),New York,USA,Winner of Match 76,Winner of Match 78,,,4
92,Round of 16,2026-07-06T00:00:00+00:00,2026-07-05T18:00:00-06:00,America/Mexico_City,Mexico City,Mexico City,Mexico,Winner of Match 79,Winner of Match 80,,,4
93,Round of 16,2026-07-06T19:00:00+00:00,2026-07-06T14:00:00-05:00,America/Chicago,Dallas (Arlington),Dallas,USA,Winner of Match 83,Winner of Match 84,,,3
94,Round of 16,2026-07-07T00:00:00+00:00,2026-07-06T17:00:00-07:00,America/Los_Angeles,Seattle,Seattle,USA,Winner of Match 81,Winner of Match 82,,,4
95,Round of 16,2026-07-07T16:00:00+00:00,2026-07-07T12:00:00-04:00,America/New_York,Atlanta,Atlanta,USA,Winner of Match 86,Winner of Match 88,,,3
96,Round of 16,2026-07-07T20:00:00+00:00,2026-07-07T13:00:00-07:00,America/Vancouver,Vancouver,Vancouver,Canada,Winner of Match 85,Winner of Match 87,,,4
97,Quarter-final,2026-07-09T20:00:00+00:00,2026-07-09T16:00:00-04:00,America/New_York,Boston (Foxborough),Boston,USA,Winner of Match 89,Winner of Match 90,,,3
98,Quarter-final,2026-07-10T19:00:00+00:00,2026-07-10T12:00:00-07:00,America/Los_Angeles,Los Angeles (Inglewood),Los Angeles,USA,Winner of Match 93,Winner of Match 94,,,3
99,Quarter-final,2026-07-11T21:00:00+00:00,2026-07-11T17:00:00-04:00,America/New_York,Miami (Miami Gardens),Miami,USA,Winner of Match 91,Winner of Match 92,,,4
100,Quarter-final,2026-07-12T01:00:00+00:00,2026-07-11T20:00:00-05:00,America/Chicago,Kansas City,Kansas City,USA,Winner of Match 95,Winner of Match 96,,,4
101,Semi-final,2026-07-14T19:00:00+00:00,2026-07-14T14:00:00-05:00,America/Chicago,Dallas (Arlington),Dallas,USA,Winner of Match 97,Winner of Match 98,,,4
102,Semi-final,2026-07-15T19:00:00+00:00,2026-07-15T15:00:00-04:00,America/New_York,Atlanta,Atlanta,USA,Winner of Match 99,Winner of Match 100,,,4
103,Match for third place,2026-07-18T21:00:00+00:00,2026-07-18T17:00:00-04:00,America/New_York,Miami (Miami Gardens),Miami,USA,Loser of Match 101,Loser of Match 102,,,4
104,Final,2026-07-19T19:00:00+00:00,2026-07-19T15:00:00-04:00,America/New_York,New York/New Jersey (East Rutherford),New York,USA,Winner of Match 101,Winner of Match 102,,,4
